codigo,descricao
800801,TINTA (PEQUENOS REPAROS)
800802,VERNIZ (PEQUENOS REPAROS)
800901,CAL (PEQUENOS REPAROS)
800902,CAL VIRGEM (PEQUENOS REPAROS)
801001,VIDRO (PEQUENOS REPAROS)
801101,"MATERIAL HIDRAULICO (TORNEIRA, CANO, ETC) (PEQUENOS REPAROS)"
801102,TORNEIRA (PEQUENOS REPAROS)
801103,CANO (PEQUENOS REPAROS)
801201,MATERIAL PARA INSTALACAO ELETRICA (PEQUENOS REPAROS)
801202,FIO PARA INSTALACAO ELETRICA (PEQUENOS REPAROS)
801203,INTERRUPTOR (PEQUENOS REPAROS)
801204,TOMADA (PEQUENOS REPAROS)
801301,"FERRAGENS (FECHADURA, FERRO, ARAME, PREGO, ETC.) (PEQUENOS REPAROS)"
801302,FECHADURA (PEQUENOS REPAROS)
801303,FERRO (PEQUENOS REPAROS)
801304,ARAME (PEQUENOS REPAROS)
801305,PREGO (PEQUENOS REPAROS)
801306,RALO DE ESGOTAMENTO DE AGUA (PEQUENOS REPAROS)
801307,TELA DE ARAME (PEQUENOS REPAROS)
801308,TRILHO METALICO (PEQUENOS REPAROS)
801309,ROLAMENTO PARA PORTA (PEQUENOS REPAROS)
801310,ROLDANA
801401,COLA (PEQUENOS REPAROS)
801402,COLA DE MADEIRA (PEQUENOS REPAROS)
801403,COLA SUPER BOND (PEQUENOS REPAROS)
801404,DUREPOX (PEQUENOS REPAROS)
801405,COLA DE SAPATEIRO (PEQUENOS REPAROS)
801406,EPOX (COLA) (PEQUENOS REPAROS)
801501,CAIXA DE DESCARGA (PEQUENOS REPAROS)
801601,"MADEIRA, TACO, CAIBRO, RIPA, ETC. (PEQUENOS REPAROS)"
801602,MADEIRA (PEQUENOS REPAROS)
801603,TACO (PEQUENOS REPAROS)
801604,CAIBRO (PEQUENOS REPAROS)
801605,RIPA (PEQUENOS REPAROS)
801606,SARRAFO (PEQUENOS REPAROS)
801701,"ARTIGOS DE JARDINAGEM (PLANTA, TERRA, SEMENTE, VASO, ETC.)"
801702,PLANTA NATURAL
801703,TERRA VEGETAL
801704,SEMENTE
801705,VASO PARA PLANTA
801706,MUDA (PLANTA)
801707,XAXIM
801708,REGADOR PARA PLANTA
801801,PRODUTOS PARA PISCINA
801802,CLORO PARA PISCINA
801803,SULFATO DE ALUMINIO PARA PISCINA
801901,CUPINICIDA
801902,VENENO CONTRA CUPIM (CUPINICIDA)
802001,RATICIDA
802002,VENENO PARA RATO
802003,CHUMBINHO MATA-RATOS
802101,FUNGICIDA
802201,BACTERICIDA
802301,"DEDETIZACAO, DESRATIZACAO, DESINSETIZACAO, ETC. (MANUTENCAO)"
802401,"MAO-DE-OBRA (PEDREIRO, MARCENEIRO, ELETRICISTA, PINTOR, ETC.) (PEQUENOS REPAROS)"
802402,PEDREIRO (PEQUENOS REPAROS)
802403,MARCENEIRO (PEQUENOS REPAROS)
802404,ELETRICISTA (PEQUENOS REPAROS)
802405,PINTOR (PEQUENOS REPAROS)
802406,VIDRACEIRO (PEQUENOS REPAROS)
802407,MANUTENCAO DE CAIXA DE AGUA
802408,CONSERTO DE TOLDO (PEQUENOS REPAROS)
802409,CONSERTO DE PORTAO ELETRONICO (PEQUENOS REPAROS)
802410,MANUTENCAO DE FOSSA SEPTICA
802501,MANUTENCAO DE JAZIGO (PEQUENOS REPAROS)
802601,PINCEL (PEQUENOS REPAROS)
802602,TRINCHA (PEQUENOS REPAROS)
802701,ROLO DE PINTURA (PEQUENOS REPAROS)
802801,LIXA DE MADEIRA (PEQUENOS REPAROS)
802901,ARGAMASSA (PEQUENOS REPAROS)
802902,REJUNTE (PEQUENOS REPAROS)
803001,BLOCO DE CIMENTO
803101,SOLEIRA E PARAPEITO DE JANELA DE QUALQUER MATERIAL (PEQUENOS REPAROS)
803201,GESSO (PEQUENOS REPAROS)
803301,IMPERMEABILIZANTE
803302,MASSA DE VEDACAO DE TELHA
803401,CARPETE (PEQUENOS REPAROS)
803501,MATERIAL PLASTICO PARA COBERTURA (PEQUENOS REPAROS)
803502,TOLDO PLASTICO (PEQUENOS REPAROS)
803503,PLASTICO (MATERIAL PARA COBERTURA)  (PEQUENOS REPAROS)
803504,TOLDO DE LONA  (PEQUENOS REPAROS)
803601,ATERRO (PEQUENOS REPAROS)
803701,FORMICA (FOLHA) (PEQUENOS REPAROS)
803702,FOLHA DE FORMICA (PEQUENOS REPAROS)
803801,PALHA PARA COBERTURA (PEQUENOS REPAROS)
803802,SAPE PARA COBERTURA (PEQUENOS REPAROS)
803901,BOIA DE CAIXA DE AGUA (PEQUENOS REPAROS)
804001,MASSA DE FIXACAO E VEDACAO DE VIDRO (PEQUENOS REPAROS)
804101,BANDEIRA DE JANELA (PEQUENOS REPAROS)
804201,OXIDO DE FERRO (PARA PISO DE CERAMICA) (PEQUENOS REPAROS)
804301,PAPEL DE PAREDE (PEQUENOS REPAROS)
804401,MOTOR ELETRICO PARA PORTAO (PEQUENOS REPAROS)
804501,CAIXA PARA AR CONDICIONADO (PEQUENOS REPAROS)
804601,ALUGUEL DE LIXADEIRA ELETRICA (PEQUENOS REPAROS)
804701,CUBA PARA PIA (QUALQUER MATERIAL) (PEQUENOS REPAROS)
804702,PIA (CUBA) DE QUALQUER MATERIAL (PEQUENOS REPAROS)
804801,LATA VAZIA (USADA EM CONSTRUCAO)
804802,BALDE PARA CONSTRUCAO
804901,ASFALTO (PEQUENOS REPAROS)
805001,FORMICIDA
805101,BARATICIDA
805201,"TELA (POLIESTER, POLIETILENO, ETC.)"
805301,PEDRA MARMORE PARA BALCAO
805401,ESPACADOR PARA CERAMICA
805501,TAMPA DE ACO
805601,CAIXA DE GORDURA (PEQUENOS REPAROS)
805701,CORRIMAO (PEQUENOS REPAROS)
805801,ALGICIDA
805901,BANDEJA DE PINTURA (PEQUENOS REPAROS)
806001,FITA MULTIUSO (ASFALTICA)
806101,RATOEIRA
806201,LIXA DE PAREDE
806301,SOLVENTE (PEQUENOS REPAROS)
806401,SELADOR (PEQUENOS REPAROS)
806501,LONA (PEQUENOS REPAROS)
806601,TEXTURA DE PAREDE (PEQUENOS REPAROS)
806701,BUCHA (PEQUENOS REPAROS)
806801,SILICONE PARA VEDACAO
899901,AGREGADO
900101,MONTAGEM DE MOVEIS
900201,CONSERTO DE MOVEIS (PECA+MAO-DE-OBRA)
900202,REFORMA DE MOVEIS (PECA+MAO-DE-OBRA)
900301,CONSERTO DE MOVEIS (PECA)
900302,REFORMA DE MOVEIS (PECA)
900401,CONSERTO DE MOVEIS (MAO-DE-OBRA)
900402,REFORMA DE MOVEIS (MAO-DE-OBRA)
900501,CONSERTO DE GELADEIRA (PECA+MAO-DE-OBRA)
900601,CONSERTO DE GELADEIRA (PECA)
900701,CONSERTO DE GELADEIRA (MAO-DE-OBRA)
900801,CONSERTO DE TELEVISAO (PECA+MAO-DE-OBRA)
900901,CONSERTO DE TELEVISAO (PECA)
901001,CONSERTO DE TELEVISAO (MAO-DE-OBRA)
901101,CONSERTO DE MICROCOMPUTADOR (PECA+MAO-DE-OBRA)
901201,CONSERTO DE MICROCOMPUTADOR (PECA)
901301,CONSERTO DE MICROCOMPUTADOR (MAO-DE-OBRA)
901401,ALUGUEL DE TELEFONE FIXO
901501,ALUGUEL DE CONSOLE DE VIDEO GAME
901601,ALUGUEL DE APARELHO DE DVD OU BLU RAY
901701,CONSERTO DE RECEPTOR DE ANTENA PARABOLICA (PECA+MAO-DE-OBRA)
901801,CONSERTO DE RECEPTOR DE ANTENA PARABOLICA (PECA)
901901,CONSERTO DE RECEPTOR DE ANTENA PARABOLICA (MAO-DE-OBRA)
902001,CONSERTO DE ASPIRADOR DE PO (PECA+MAO-DE-OBRA)
902101,CONSERTO DE ASPIRADOR DE PO (PECA)
902201,CONSERTO DE ASPIRADOR DE PO (MAO-DE-OBRA)
902301,CONSERTO DE FREEZER (PECA+MAO DE OBRA)
902401,CONSERTO DE FREEZER (PECA)
902501,CONSERTO DE FREEZER (MAO DE OBRA)
902601,CONSERTO DE FERRO ELETRICO (PECA+MAO-DE-OBRA)
902701,CONSERTO DE FERRO ELETRICO (PECA)
902801,CONSERTO DE FERRO ELETRICO (MAO-DE-OBRA)
902901,CONSERTO DE APARELHO SONORO (PECA+MAO-DE-OBRA)
903001,CONSERTO DE APARELHO SONORO (PECA)
903101,CONSERTO DE APARELHO SONORO (MAO-DE-OBRA)
903201,CONSERTO DE VIDEOCASSETE (PECA+MAO-DE-OBRA)
903301,CONSERTO DE VIDEOCASSETE (PECA)
903401,CONSERTO DE VIDEOCASSETE (MAO-DE-OBRA)
903501,CONSERTO DE MAQUINA DE LAVAR ROUPA (PECA+MAO-DE-OBRA)
903601,CONSERTO DE MAQUINA DE LAVAR ROUPA (PECA)
903701,CONSERTO DE MAQUINA DE LAVAR ROUPA (MAO-DE-OBRA)
903801,CONSERTO DE MAQUINA DE SECAR ROUPA (PECA+MAO-DE-OBRA)
903901,CONSERTO DE MAQUINA DE SECAR ROUPA (PECA)
904001,CONSERTO DE MAQUINA DE SECAR ROUPA (MAO-DE-OBRA)
904101,CONSERTO DE FOGAO (PECA+MAO-DE-OBRA)
904201,CONSERTO DE FOGAO (PECA)
904301,CONSERTO DE FOGAO (MAO-DE-OBRA)
904401,CONSERTO DE AR CONDICIONADO (PECA+MAO-DE-OBRA)
904501,CONSERTO DE AR CONDICIONADO (PECA)
904601,CONSERTO DE AR CONDICIONADO (MAO-DE-OBRA)
904701,CONSERTO DE MAQUINA DE COSTURA (PECA+MAO-DE-OBRA)
904801,CONSERTO DE MAQUINA DE COSTURA (PECA)
904901,CONSERTO DE MAQUINA DE COSTURA (MAO-DE-OBRA)
905001,CONSERTO DE BATEDEIRA DE BOLO (PECA+MAO-DE-OBRA)
905101,CONSERTO DE BATEDEIRA DE BOLO (PECA)
905201,CONSERTO DE BATEDEIRA DE BOLO (MAO-DE-OBRA)
905301,CONSERTO DE LIQUIDIFICADOR (PECA+MAO-DE-OBRA)
905401,CONSERTO DE LIQUIDIFICADOR (PECA)
905501,CONSERTO DE LIQUIDIFICADOR (MAO-DE-OBRA)
905601,CONSERTO DE MULTIPROCESSADOR (PECA+MAO-DE-OBRA)
905701,CONSERTO DE MULTIPROCESSADOR (PECA)
905801,CONSERTO DE MULTIPROCESSADOR (MAO-DE-OBRA)
905901,CONSERTO DE FORNO ELETRICO (PECA+MAO-DE-OBRA)
906001,CONSERTO DE FORNO ELETRICO (PECA)
906101,CONSERTO DE FORNO ELETRICO (MAO-DE-OBRA)
906201,CONSERTO DE MAQUINA DE LAVAR LOUCAS (PECA+MAO-DE-OBRA)
906301,CONSERTO DE MAQUINA DE LAVAR LOUCAS (PECA)
906401,CONSERTO DE MAQUINA DE LAVAR LOUCAS (MAO-DE-OBRA)
906501,CONSERTO DE VENTILADOR (PECA+MAO-DE-OBRA)
906601,CONSERTO DE VENTILADOR (PECA)
906701,CONSERTO DE VENTILADOR (MAO-DE-OBRA)
906801,CONSERTO DE ANTENA PARABOLICA (PECA+MAO-DE-OBRA)
906901,CONSERTO DE ANTENA PARABOLICA (PECA)
907001,CONSERTO DE ANTENA PARABOLICA (MAO-DE-OBRA)
907101,CONSERTO DE CHUVEIRO ELETRICO (PECA+MAO-DE-OBRA)
907201,CONSERTO DE CHUVEIRO ELETRICO (PECA)
907301,CONSERTO DE CHUVEIRO ELETRICO (MAO-DE-OBRA)
907401,CONSERTO DE SECADOR DE CABELOS (PECA+MAO-DE-OBRA)
907501,CONSERTO DE SECADOR DE CABELOS (PECA)
907601,CONSERTO DE SECADOR DE CABELOS (MAO-DE-OBRA)
907701,CONSERTO DE MICROONDAS (PECA+MAO-DE-OBRA)
907801,CONSERTO DE MICROONDAS (PECA)
907901,CONSERTO DE MICROONDAS (MAO-DE-OBRA)
908001,CONSERTO DE VIDEO GAME (PECA+MAO-DE-OBRA)
908101,CONSERTO DE VIDEO GAME (PECA)
908201,CONSERTO DE VIDEO GAME (MAO-DE-OBRA)
908301,CONSERTO DE CENTRIFUGA (PECA+MAO-DE-OBRA)
908401,CONSERTO DE CENTRIFUGA (PECA)
908501,CONSERTO DE CENTRIFUGA (MAO-DE-OBRA)
908601,CONSERTO DE IMPRESSORA (PECA+MAO-DE-OBRA)
908701,CONSERTO DE IMPRESSORA (PECA)
908801,CONSERTO DE IMPRESSORA (MAO-DE-OBRA)
908901,CONSERTO DE CONTROLE REMOTO (PECA+MAO-DE-OBRA)
909001,CONSERTO DE CONTROLE REMOTO (PECA)
909101,CONSERTO DE CONTROLE REMOTO (MAO-DE-OBRA)
909201,CONSERTO DE APARELHO DE DVD OU BLUE-RAY (PECA+MAO-DE-OBRA)
909301,CONSERTO DE APARELHO DE DVD OU BLUE-RAY (PECA)
909401,CONSERTO DE APARELHO DE DVD OU BLUE-RAY (MAO-DE-OBRA)
909501,CONSERTO DE BOMBA DE AGUA ELETRICA (PECA+MAO-DE-OBRA)
909601,CONSERTO DE BOMBA DE AGUA ELETRICA (PECA)
909701,CONSERTO DE BOMBA DE AGUA ELETRICA (MAO-DE-OBRA)
909801,CONSERTO DE TELEFONE FIXO (PECA+MAO-DE-OBRA)
909901,CONSERTO DE TELEFONE FIXO (PECA)
910001,CONSERTO DE TELEFONE FIXO (MAO-DE-OBRA)
910101,ALUGUEL DE TELEVISAO
910201,ALUGUEL DE MICROCOMPUTADOR
910301,ALUGUEL DE FREEZER
910401,ALUGUEL DE FILMADORA
910501,ALUGUEL DE APARELHO DE KARAOKE OU VIDEOKE
910502,ALUGUEL DE APARELHO DE KARAOKE
910503,ALUGUEL DE APARELHO DE VIDEOKE
910601,ALUGUEL DE FILTRO DE AGUA ELETRICO
910701,ALUGUEL DE MAQUINA DE LAVAR PEDRAS
910801,ALUGUEL DE INSTRUMENTO MUSICAL
910901,CONSERTO DE CLIMATIZADOR (PECA + MAO DE OBRA)
911001,CONSERTO DE CLIMATIZADOR (PECA)
911101,CONSERTO DE CLIMATIZADOR (MAO DE OBRA)
911201,CONSERTO DE BEBEDOURO ELETRICO (PECA + MAO DE OBRA)
911301,CONSERTO DE BEBEDOURO ELETRICO (PECA)
911401,CONSERTO DE BEBEDOURO ELETRICO (MAO DE OBRA)
911501,CONSERTO DE PURIFICADOR DE AGUA (PECA + MAO DE OBRA)
911601,CONSERTO DE PURIFICADOR DE AGUA (PECA)
911701,CONSERTO DE PURIFICADOR DE AGUA (MAO DE OBRA)
911801,CONSERTO DE CAFETEIRA ELETRICA (PECA + MAO DE OBRA)
911901,CONSERTO DE CAFETEIRA ELETRICA (PECA)
912001,CONSERTO DE CAFETEIRA ELETRICA (MAO DE OBRA)
912101,CONSERTO DE FRITADEIRA ELETRICA (PECA + MAO DE OBRA)
912201,CONSERTO DE FRITADEIRA ELETRICA (PECA)
912301,CONSERTO DE FRITADEIRA ELETRICA (MAO DE OBRA)
912401,CONSERTO DE PANELA ELETRICA (PECA + MAO DE OBRA)
912501,CONSERTO DE PANELA ELETRICA (PECA)
912601,CONSERTO DE PANELA ELETRICA (MAO DE OBRA)
912701,CONSERTO DE SISTEMA DE VIDEO MONITORAMENTO E CAMERA DE SEGURANCA (PECA + MAO DE OBRA)
912801,CONSERTO DE SISTEMA DE VIDEO MONITORAMENTO E CAMERA DE SEGURANCA (PECA)
912901,CONSERTO DE SISTEMA DE VIDEO MONITORAMENTO E CAMERA DE SEGURANCA (MAO DE OBRA)
913001,CONSERTO DE ROTEADOR OU MODEM (PECA + MAO DE OBRA)
913101,CONSERTO DE ROTEADOR OU MODEM (PECA)
913201,CONSERTO DE ROTEADOR OU MODEM (MAO DE OBRA)
913301,CONSERTO DE GERADOR DE ENERGIA (PECA + MAO DE OBRA)
913401,CONSERTO DE GERADOR DE ENERGIA (PECA)
913501,CONSERTO DE GERADOR DE ENERGIA (MAO DE OBRA)
913601,CONSERTO DE CILINDRO ELETRICO (PECA + MAO DE OBRA)
913701,CONSERTO DE CILINDRO ELETRICO (PECA)
913801,CONSERTO DE CILINDRO ELETRICO (MAO DE OBRA)
913901,CONSERTO DE CONVERSOR DIGITAL (PECA + MAO DE OBRA)
914001,CONSERTO DE CONVERSOR DIGITAL (PECA)
914101,CONSERTO DE CONVERSOR DIGITAL (MAO DE OBRA)
914201,CONSERTO DE COLCHAO ELETRICO (PECA + MAO DE OBRA)
914301,CONSERTO DE COLCHAO ELETRICO (PECA)
914401,CONSERTO DE COLCHAO ELETRICO (MAO DE OBRA)
914501,CONSERTO DE CERCA ELETRICA (PECA + MAO DE OBRA)
914601,CONSERTO DE CERCA ELETRICA (PECA)
914701,CONSERTO DE CERCA ELETRICA (MAO DE OBRA)
914801,CONSERTO DE CHURRASQUEIRA ELETRICA (PECA + MAO DE OBRA)
914901,CONSERTO DE CHURRASQUEIRA ELETRICA (PECA)
915001,CONSERTO DE CHURRASQUEIRA ELETRICA (MAO DE OBRA)
915101,CONSERTO DE ADEGA ELETRICA (PECA + MAO DE OBRA)
915201,CONSERTO DE ADEGA ELETRICA (PECA)
915301,CONSERTO DE ADEGA ELETRICA (MAO DE OBRA)
915401,CONSERTO DE FURADEIRA (PECA + MAO DE OBRA)
915501,CONSERTO DE FURADEIRA (PECA)
915601,CONSERTO DE FURADEIRA (MAO DE OBRA)
915701,CONSERTO DE GRILL ELETRICO (PECA + MAO DE OBRA)
915801,CONSERTO DE GRILL ELETRICO (PECA)
915901,CONSERTO DE GRILL ELETRICO (MAO DE OBRA)
916001,CONSERTO DE JARRA ELETRICA (PECA + MAO DE OBRA)
916101,CONSERTO DE JARRA ELETRICA (PECA)
916201,CONSERTO DE JARRA ELETRICA (MAO DE OBRA)
916301,CONSERTO DE LAVA JATO (PECA + MAO DE OBRA)
916401,CONSERTO DE LAVA JATO (PECA)
916501,CONSERTO DE LAVA JATO (MAO DE OBRA)
916601,CONSERTO DE HOME THEATER (PECA + MAO DE OBRA)
916701,CONSERTO DE HOME THEATER (PECA)
916801,CONSERTO DE HOME THEATER (MAO DE OBRA)
916901,CONSERTO DE MAQUINA DE CORTAR CABELOS (PECA + MAO DE OBRA)
917001,CONSERTO DE MAQUINA DE CORTAR CABELOS (PECA)
917101,CONSERTO DE MAQUINA DE CORTAR CABELOS (MAO DE OBRA)
917201,CONSERTO DE MIXER (PECA + MAO DE OBRA)
917301,CONSERTO DE MIXER (PECA)
917401,CONSERTO DE MIXER (MAO DE OBRA)
917501,CONSERTO DE MAQUINA DE CORTAR GRAMA (PECA + MAO DE OBRA)
917601,CONSERTO DE MAQUINA DE CORTAR GRAMA (PECA)
917701,CONSERTO DE MAQUINA DE CORTAR GRAMA (MAO DE OBRA)
917801,CONSERTO DE ESPREMEDOR DE FRUTAS ELETRICO (PECA + MAO DE OBRA)
917901,CONSERTO DE ESPREMEDOR DE FRUTAS ELETRICO (PECA)
918001,CONSERTO DE ESPREMEDOR DE FRUTAS ELETRICO (MAO DE OBRA)
918101,CONSERTO DE ROCADEIRA (PECA + MAO DE OBRA)
918201,CONSERTO DE ROCADEIRA (PECA)
918301,CONSERTO DE ROCADEIRA (MAO DE OBRA)
918401,CONSERTO DE MAQUINA DE TATUAGEM (PECA + MAO DE OBRA)
918501,CONSERTO DE MAQUINA DE TATUAGEM (PECA)
918601,CONSERTO DE MAQUINA DE TATUAGEM (MAO DE OBRA)
918701,CONSERTO DE PRANCHA DE CABELO (PECA + MAO DE OBRA)
918801,CONSERTO DE PRANCHA DE CABELO (PECA)
918901,CONSERTO DE PRANCHA DE CABELO (MAO DE OBRA)
919001,CONSERTO DE AQUECEDOR DE AGUA (PECA + MAO DE OBRA)
919101,CONSERTO DE AQUECEDOR DE AGUA (PECA)
919201,CONSERTO DE AQUECEDOR DE AGUA (MAO DE OBRA)
919301,CONSERTO DE ANTENA PARA TELEFONE VIA RADIO (PECA + MAO DE OBRA)
919401,CONSERTO DE ANTENA PARA TELEFONE VIA RADIO (PECA)
919501,CONSERTO DE ANTENA PARA TELEFONE VIA RADIO (MAO DE OBRA)
919601,CONSERTO DE INTERFONE (PECA + MAO DE OBRA)
919701,CONSERTO DE INTERFONE (PECA)
919801,CONSERTO DE INTERFONE (MAO DE OBRA)
919901,CONSERTO DE MAQUINA DE FAZER PAO (PECA + MAO DE OBRA)
920001,CONSERTO DE MAQUINA DE FAZER PAO (PECA)
920101,CONSERTO DE MAQUINA DE FAZER PAO (MAO DE OBRA)
920201,CONSERTO DE RALADOR ELETRICO (PECA + MAO DE OBRA)
920301,CONSERTO DE RALADOR ELETRICO (PECA)
920401,CONSERTO DE RALADOR ELETRICO (MAO DE OBRA)
920501,CONSERTO DE ESCOVA ELETRICA (PECA + MAO DE OBRA)
920601,CONSERTO DE ESCOVA ELETRICA (PECA)
920701,CONSERTO DE ESCOVA ELETRICA (MAO DE OBRA)
920801,CONSERTO DE SERRA ELETRICA (PECA + MAO DE OBRA)
920901,CONSERTO DE SERRA ELETRICA (PECA)
921001,CONSERTO DE SERRA ELETRICA (MAO DE OBRA)
921101,CONSERTO DE TORRADEIRA (PECA + MAO DE OBRA)
921201,CONSERTO DE TORRADEIRA (PECA)
921301,CONSERTO DE TORRADEIRA (MAO DE OBRA)
921401,CONSERTO DE NOBREAK (PECA + MAO DE OBRA)
921501,CONSERTO DE NOBREAK (PECA)
921601,CONSERTO DE NOBREAK (MAO DE OBRA)
921701,CONSERTO DE INSTRUMENTO MUSICAL (PECA + MAO DE OBRA)
921801,CONSERTO DE INSTRUMENTO MUSICAL (PECA)
921901,CONSERTO DE INSTRUMENTO MUSICAL (MAO DE OBRA)
922001,CONSERTO DE ANTENA DE TV (PECA + MAO DE OBRA)
922101,CONSERTO DE ANTENA DE TV (PECA)
922201,CONSERTO DE ANTENA DE TV (MAO DE OBRA)
922301,CONSERTO DE SOVADEIRA (PECA + MAO DE OBRA)
922401,CONSERTO DE SOVADEIRA (PECA)
922501,CONSERTO DE SOVADEIRA (MAO DE OBRA)
922601,CONSERTO DE MOTOR DE MOER MANDIOCA
999901,AGREGADO
1000101,ALUGUEL DO IMOVEL
1000201,"ADICIONAIS DO ALUGUEL DO IMOVEL (JUROS, MULTA, ETC.)"
1000301,PRESTACAO DO IMOVEL
1000401,ALUGUEL DE GARAGEM
1000501,CONDOMINIO
1000601,IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU)
1000602,IPTU
1000701,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL (ITR)
1000702,ITR
1000703,IPTR
1000801,"ADICIONAIS DE PRESTACAO DO IMOVEL (JUROS, MULTA, ETC.)"
1000901,"ADICIONAIS DE ALUGUEL DE GARAGEM (JUROS, MULTA, ETC.)"
1001001,"ADICIONAIS DE CONDOMINIO (JUROS, MULTA, ETC.)"
1001101,"ADICIONAIS DE IPTU (JUROS, MULTA, ETC.)"
1001201,"ADICIONAIS DE IPTR (JUROS, MULTA, ETC.)"
1001301,INCRA
1001401,SERVICO DE PATRIMONIO DA UNIAO (SPU)
1001501,PROPRIOS NACIONAIS RESIDENCIAIS (PNR)
1001601,CADASTRO AMBIENTAL RURAL (CAR)
1099901,AGREGADO
1100101,AZULEJO E PISO (CONSTRUCAO E REFORMA)
1100102,AZULEJO (CONSTRUCAO E REFORMA)
1100103,PISO (CONSTRUCAO E REFORMA)
1100104,LAJOTA (CONSTRUCAO E REFORMA)
1100105,PISO DE CERAMICA (CONSTRUCAO E REFORMA)
1100201,TIJOLO (CONSTRUCAO E REFORMA)
1100202,BLOCO DE CERAMICA (CONSTRUCAO E REFORMA)
1100301,"TELHA (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.) (CONSTRUCAO E REFORMA)"
1100302,TELHA DE BARRO (CONSTRUCAO E REFORMA)
1100303,TELHA DE AMIANTO (CONSTRUCAO E REFORMA)
1100304,TELHA DE FIBRA (CONSTRUCAO E REFORMA)
1100305,TELHA DE ALUMINIO (CONSTRUCAO E REFORMA)
1100401,CIMENTO (CONSTRUCAO E REFORMA)
1100402,CIMENTO BRANCO (CONSTRUCAO E REFORMA)
1100403,CIMENTCOLA OU CIMENTOCOLA (CONSTRUCAO E REFORMA)
1100501,"AREIA, TERRA, BARRO, SAIBRO, CASCALHO, ETC. (CONSTRUCAO E REFORMA)"
1100601,"PEDRAS (BRITADA, MARROADA, PARALELEPIPEDO, ETC.) (CONSTRUCAO E REFORMA)"
1100701,MASSA CORRIDA PARA PAREDE (CONSTRUCAO E REFORMA)
1100801,TINTA (CONSTRUCAO E REFORMA)
1100802,VERNIZ (CONSTRUCAO E REFORMA)
1100901,CAL (CONSTRUCAO E REFORMA)
1100902,CAL VIRGEM (CONSTRUCAO E REFORMA)
